name;team;9.5.2004;8.5.2005;30.4.2006;27.5.2007;17.5.2008;23.5.2009;22.5.2010;28.5.2011;3.6.2012;2.6.2013;1.6.2014;30.5.2015;gender
Lúca;Sako;;;;;;6;-;-;-;-;-;;woman
Upır;Mao, Aštar, Tome;-;1;1;2;-;2;-;-;-;-;-;;man
Pája;Bílá stopa, Jak za mlada;;;;;;;;;3;-;2;-;man
Pavel;Hanebáci, Š-moulové;;;;;;;;;;5;-;-;man
Sauli;Tamara;-;1;-;-;-;-;-;-;-;3;-;1;man
Adam;Lax Ducks;;;;;;;;;5;-;-;;man
Èiko;Krupièkovy tanky;5;-;-;-;-;-;-;-;-;-;-;;man
Jenda;Aštar , Tome, Mao, Topinambur;-;-;2;0;-;1;-;0;1;1;-;;man
Kaprál;Mao, Aštar;-;1;4;-;-;;-;-;-;-;-;;man
Norm;Telefonní èíslo;;;;;;5;-;-;-;-;-;;man
Sodi;Poštolky, UFB;;;;3;-;-;-;-;-;2;-;;man
Wheb;A je to Ch;;;;5;-;-;-;-;-;-;-;;man
Tereza;Praskı vıbìr, Š-moulové;;;;;;;;;1;3;0;-;woman
Kecal;Kosmodisk;;;;;;;;;;;;4;man
Robin;Odpad A;;;;;;;;;;;2;2;man
Pavel;Selátka;;;;;;;;;4;-;-;0;man
Petr;Selátka;;;;;;;;;4;-;-;0;man
Sviš;Café, , Telefonní èíslo, Tamara;;;;;;1;1;2;-;0;0;0;man
Aguti;Tragédi;;;;;3;-;1;-;-;-;-;;man
Dominik;Telefonní èíslo;;;;;;;;;;4;-;;man
Dušan;Zabíjácké Veverky;-;4;-;-;-;-;-;-;-;-;-;;man
Lars;Chupaté Bestie;-;-;-;-;-;-;-;4;-;-;-;;man
Magda;Díra v Tichu, Orion 2;;;;;1;1;1;0;0;0;1;;woman
Majky;Válcovny;0;4;-;-;-;-;-;-;-;-;-;;man
